date,team1,team2,score,odd1,odd2
2026-03-09,BIG,Misa Esports,0-2,2.60,1.48
2026-03-09,Verdant,WL Gaming Esports,2-0,2.36,1.62
2026-03-10,G2 NORD,Lupus,2-0,1.05,8.00
2026-03-10,NightBirds,Heretics Academy,0-2,5.00,1.14
2026-03-10,BAAM,Witchcraft,0-2,11.00,1.01
2026-03-10,Galions,Vantex,2-0,1.00,12.00
2026-03-10,Barca eSports,Team Brute,2-0,1.08,7.20
2026-03-10,Arctic Pandas,Colossal Gaming,2-0,1.42,2.72
2026-03-10,UCAM Esports Club,Bushido Wildcats,2-0,1.50,2.40
2026-03-10,DMG Esports,Karmine Corp Blue,0-2,12.00,1.00
2026-03-11,BIG,The Otter Side,2-0,1.00,12.00
2026-03-11,FN Esports,Phantasma,1-2,1.50,2.40
2026-03-11,Unicorns of Love Sexy Edition,Partizan Sangal,1-2,1.68,2.05
2026-03-12,Colossal Gaming,NightBirds,0-2,7.00,1.07
2026-03-12,G2 NORD,Witchcraft,2-1,5.30,1.14
2026-03-12,Vantex,Bushido Wildcats,0-2,7.20,1.08
2026-03-12,Galions,UCAM Esports Club,2-0,1.25,3.75
2026-03-12,Arctic Pandas,Heretics Academy,0-2,6.80,1.10
2026-03-12,Lupus,BAAM,0-2,2.50,1.56
2026-03-12,Barca eSports,Karmine Corp Blue,1-2,5.40,1.12
2026-03-12,Team Brute,DMG Esports,1-2,1.37,2.90
2026-03-13,DMG Esports,Barca eSports,2-1,7.50,1.06
2026-03-13,Bushido Wildcats,UCAM Esports Club,0-2,5.00,1.16
2026-03-13,NightBirds,Arctic Pandas,0-2,1.50,2.40
2026-03-13,BAAM,Witchcraft,0-2,11.00,1.02
2026-03-13,HMBLE,3BL,2-0,1.31,3.20
2026-03-13,Phantasma,Eintracht Spandau,0-2,4.00,1.22
2026-03-13,BIG,Frites,2-0,1.22,3.90
2026-03-13,WL Gaming Esports,Partizan Sangal,0-2,4.60,1.17
2026-03-13,The Otter Side,S2G Esports,0-2,7.50,1.08
2026-03-14,Witchcraft,G2 NORD,1-2,1.28,3.55
2026-03-14,Arctic Pandas,Heretics Academy,0-2,5.80,1.10
2026-03-14,Bomba Team,Phantasma,0-2,1.42,2.66
2026-03-14,DMG Esports,Karmine Corp Blue,0-2,9.00,1.03
2026-03-14,HMBLE,Barczaca,1-2,2.70,1.42
2026-03-14,S2G Esports,Frites,2-0,1.38,2.98
2026-03-14,UCAM Esports Club,Galions,1-2,5.80,1.10
2026-03-14,Unicorns of Love Sexy Edition,WL Gaming Esports,2-1,1.13,5.00
2026-03-15,Phantasma,Eintracht Spandau,0-2,4.90,1.20
2026-03-15,Barczaca,French Flair,0-2,9.00,1.04
2026-03-15,S2G Esports,BIG,0-2,2.24,1.65
2026-03-15,Unicorns of Love Sexy Edition,Partizan Sangal,2-0,2.50,1.52
2026-03-23,Eintracht Spandau,Galions,0-2,4.40,1.22
2026-03-23,BIG,Karmine Corp Blue,2-0,2.66,1.52
2026-03-23,French Flair,G2 NORD,2-0,1.38,2.98
2026-03-23,Heretics Academy,Unicorns of Love Sexy Edition,1-2,1.48,2.50
2026-03-24,Solary,BIG,2-1,1.37,3.10
2026-03-24,Galions,KOI Academy,2-0,1.15,5.80
2026-03-24,Misa Esports,French Flair,0-2,1.62,2.24
2026-03-24,Verdant,Unicorns of Love Sexy Edition,0-2,3.80,1.25
2026-03-25,Karmine Corp Blue,KOI Academy,2-0,1.26,3.80
2026-03-25,Unicorns of Love Sexy Edition,Solary,1-2,4.40,1.17
2026-03-25,Galions,French Flair,2-0,2.00,1.75
2026-03-25,G2 NORD,Verdant,2-1,1.08,6.40
2026-03-25,Heretics Academy,Misa Esports,0-2,4.40,1.17
2026-03-25,Eintracht Spandau,BIG,1-2,3.10,1.38
2026-03-31,G2 NORD,BIG,0-2,2.16,1.62
2026-03-31,Galions,Solary,3-1,1.85,1.89
2026-03-31,Karmine Corp Blue,Misa Esports,0-2,2.50,1.51
2026-04-07,BIG,Misa Esports,1-2,3.10,1.33
2026-04-07,French Flair,BIG,1-2,1.47,2.60
2026-04-07,Misa Esports,Unicorns of Love Sexy Edition,2-0,1.28,3.50
2026-04-14,Solary,Misa Esports,3-2,2.50,1.55
2026-04-21,Galions,Solary,0-3,2.10,1.68
2026-06-08,mCon,Bomba Team,0-1,2.60,1.45
2026-06-08,Bomba Team,Frites,0-1,2.30,1.55
2026-06-08,The Otter Side,mCon,0-1,2.00,1.72
2026-06-08,Bomba Team,The Otter Side,1-0,1.35,2.90
2026-06-08,FN Esports,Frites,0-1,2.30,1.55
2026-06-08,Karmine Corp Blue,Verdant,1-0,1.22,3.80
2026-06-08,E WIE EINFACH,NightBirds,1-0,1.40,2.70
2026-06-08,Frites,MAGAZA,1-0,1.90,1.80
2026-06-08,Bomba Team,MAGAZA,1-0,1.12,5.40
2026-06-08,E WIE EINFACH,The Otter Side,1-0,1.08,7.60
2026-06-08,GMBLERS Esports,NightBirds,0-1,5.80,1.13
2026-06-08,Karmine Corp Blue,Partizan Sangal,1-0,1.32,3.10
2026-06-10,Galions,WL Gaming Esports,2-0,1.03,10.00
2026-06-10,PCIFIC Esports,Forsaken,1-2,3.55,1.25
2026-06-10,Eintracht Spandau,Anubis,2-0,1.16,4.80
2026-06-10,Heretics Academy,Karmine Corp Blue,2-0,2.60,1.47
2026-06-10,Solary,Bomba Team,2-0,1.03,10.00
2026-06-10,Misa Esports,E WIE EINFACH,2-0,1.18,4.40
2026-06-10,G2 NORD,Partizan Sangal,2-0,1.20,4.20
2026-06-10,UCAM Esports Club,HMBLE,2-1,1.15,5.00
2026-06-11,HMBLE,E WIE EINFACH,0-2,3.15,1.32
2026-06-11,Forsaken,Heretics Academy,0-2,3.10,1.32
2026-06-11,PCIFIC Esports,Karmine Corp Blue,0-2,6.60,1.08
2026-06-11,Anubis,Bomba Team,2-0,1.53,2.35
2026-06-11,Eintracht Spandau,Solary,0-2,5.00,1.14
2026-06-11,Galions,G2 NORD,2-1,1.38,2.84
2026-06-11,UCAM Esports Club,Misa Esports,2-0,4.30,1.20
2026-06-12,Karmine Corp Blue,Forsaken,2-0,1.24,3.65
2026-06-12,Eintracht Spandau,Anubis,2-1,1.38,2.94
2026-06-12,E WIE EINFACH,Misa Esports,0-2,3.50,1.25
2026-06-12,WL Gaming Esports,G2 NORD,1-2,7.60,1.05
2026-06-13,Heretics Academy,Eintracht Spandau,2-3,1.72,2.10
2026-06-13,Solary,G2 NORD,3-1,1.17,5.30
