event_id,date,league_slug,home,away,odd_home,odd_away,books,status,fetched_at
8259160366,2026-08-11T14:00:00Z,league-of-legends-hitpoint-masters-summer,NightBirds,Onion Team,,,,pending,
5717396748,2026-08-11T16:30:00Z,league-of-legends-hitpoint-masters-summer,BRUTE,Bohemian Guardians,,,,pending,
4315441485,2026-08-12T14:00:00Z,league-of-legends-hitpoint-masters-summer,Onion Team,eSuba,,,,pending,
7343686921,2026-08-12T16:30:00Z,league-of-legends-hitpoint-masters-summer,Meavedron,CITA Kaizen,,,,pending,
4202909140,2026-08-13T14:00:00Z,league-of-legends-hitpoint-masters-summer,NightBirds,eSuba,,,,pending,
6633516372,2026-08-13T16:30:00Z,league-of-legends-hitpoint-masters-summer,Meavedron,EXILE esports,,,,pending,
5086507213,2026-08-18T14:00:00Z,league-of-legends-hitpoint-masters-summer,NightBirds,CITA Kaizen,,,,pending,
6184761170,2026-08-18T16:30:00Z,league-of-legends-hitpoint-masters-summer,Meavedron,Bohemian Guardians,,,,pending,
5173282518,2026-08-19T14:00:00Z,league-of-legends-hitpoint-masters-summer,Onion Team,BRUTE,,,,pending,
6820274582,2026-08-19T16:30:00Z,league-of-legends-hitpoint-masters-summer,EXILE esports,Bohemian Guardians,,,,pending,
5126562454,2026-08-20T14:00:00Z,league-of-legends-hitpoint-masters-summer,NightBirds,EXILE esports,,,,pending,
5298616202,2026-08-20T16:30:00Z,league-of-legends-hitpoint-masters-summer,CITA Kaizen,Bohemian Guardians,,,,pending,
5262977539,2026-08-25T15:45:00Z,league-of-legends-hitpoint-masters-summer,eSuba,BRUTE,,,,pending,
6784540945,2026-08-26T14:00:00Z,league-of-legends-hitpoint-masters-summer,EXILE esports,BRUTE,,,,pending,
5528778945,2026-08-26T16:30:00Z,league-of-legends-hitpoint-masters-summer,eSuba,CITA Kaizen,,,,pending,
6109031426,2026-08-27T14:00:00Z,league-of-legends-hitpoint-masters-summer,NightBirds,Meavedron,,,,pending,
5027057888,2026-08-27T16:00:00Z,league-of-legends-hitpoint-masters-summer,Onion Team,Bohemian Guardians,,,,none,2026-09-15 22:47
5953131569,2026-09-01T14:00:00Z,league-of-legends-hitpoint-masters-summer,EXILE esports,CITA Kaizen,7.75,1.07,1xbet,ok,2026-09-15 22:47
8170603865,2026-09-01T16:10:00Z,league-of-legends-hitpoint-masters-summer,Meavedron,BRUTE,,,,none,2026-09-15 22:47
5745648119,2026-09-02T16:00:00Z,league-of-legends-hitpoint-masters-summer,Meavedron,Onion Team,,,,none,2026-09-15 21:13
7356663687,2026-09-03T14:00:00Z,league-of-legends-hitpoint-masters-summer,NightBirds,BRUTE,,,,none,2026-09-15 21:13
5420060659,2026-09-03T15:45:00Z,league-of-legends-hitpoint-masters-summer,EXILE esports,eSuba,4.89,1.17,1xbet,ok,2026-09-15 21:13
4461230745,2026-09-04T15:05:00Z,league-of-legends-hitpoint-masters-summer,eSuba,Bohemian Guardians,,,,none,2026-09-15 21:13
6954408721,2026-09-06T10:20:00Z,league-of-legends-hitpoint-masters-summer,CITA Kaizen,BRUTE,,,,none,2026-09-15 21:13
4513243757,2026-09-06T12:00:00Z,league-of-legends-hitpoint-masters-summer,Meavedron,eSuba,2.365,1.57,1xbet,ok,2026-09-15 21:13
8045472170,2026-09-08T14:00:00Z,league-of-legends-hitpoint-masters-summer,NightBirds,EXILE esports,,,,none,2026-09-15 21:13
8008705406,2026-09-09T14:10:00Z,league-of-legends-hitpoint-masters-summer,CITA Kaizen,Meavedron,1.15,5.17,1xbet,ok,2026-09-15 21:13
7536614156,2026-09-13T11:10:00Z,league-of-legends-hitpoint-masters-summer,Meavedron,BRUTE,1.08,7.3,1xbet,ok,2026-09-15 21:13
5299084262,2026-09-14T14:30:00Z,league-of-legends-hitpoint-masters-summer,EXILE esports,eSuba,3.08,1.36,1xbet,ok,2026-09-15 21:13
6587629377,2026-09-15T15:00:00Z,league-of-legends-hitpoint-masters-summer,NightBirds,CITA Kaizen,1.15,5.17,1xbet,ok,2026-09-15 21:13
7749352182,2026-07-25T20:00:00Z,league-of-legends-lcs-summer,FlyQuest,LYON,,,,pending,
7318982634,2026-07-25T21:50:00Z,league-of-legends-lcs-summer,Dignitas,Sentinels,,,,pending,
7457342155,2026-07-26T20:00:00Z,league-of-legends-lcs-summer,Team Liquid,Cloud9,,,,pending,
5566101241,2026-07-26T22:15:00Z,league-of-legends-lcs-summer,Shopify Rebellion,Disguised,,,,pending,
4313060591,2026-08-01T20:00:00Z,league-of-legends-lcs-summer,Cloud9,Dignitas,,,,pending,
7564252785,2026-08-01T23:00:00Z,league-of-legends-lcs-summer,FlyQuest,Disguised,,,,pending,
4993973178,2026-08-02T20:00:00Z,league-of-legends-lcs-summer,LYON,Shopify Rebellion,,,,pending,
4731091084,2026-08-02T23:00:00Z,league-of-legends-lcs-summer,Team Liquid,Sentinels,,,,pending,
5269745980,2026-08-08T20:00:00Z,league-of-legends-lcs-summer,Cloud9,Disguised,,,,pending,
7574215539,2026-08-08T22:40:00Z,league-of-legends-lcs-summer,Sentinels,Shopify Rebellion,,,,pending,
4683952935,2026-08-09T20:00:00Z,league-of-legends-lcs-summer,Dignitas,LYON,,,,pending,
7191652256,2026-08-09T21:35:00Z,league-of-legends-lcs-summer,FlyQuest,Team Liquid,,,,pending,
7036096019,2026-08-15T20:00:00Z,league-of-legends-lcs-summer,Disguised,Team Liquid,,,,pending,
4292934171,2026-08-15T21:45:00Z,league-of-legends-lcs-summer,Shopify Rebellion,Dignitas,,,,pending,
6414342756,2026-08-16T20:00:00Z,league-of-legends-lcs-summer,FlyQuest,Cloud9,,,,pending,
4743898182,2026-08-16T22:00:00Z,league-of-legends-lcs-summer,LYON,Sentinels,,,,pending,
5635055122,2026-08-22T20:00:00Z,league-of-legends-lcs-summer,Sentinels,FlyQuest,,,,pending,
5684780952,2026-08-22T21:45:00Z,league-of-legends-lcs-summer,Disguised,Dignitas,,,,pending,
6664617823,2026-08-23T20:00:00Z,league-of-legends-lcs-summer,Disguised,Sentinels,,,,pending,
4011842996,2026-08-23T21:45:00Z,league-of-legends-lcs-summer,Dignitas,FlyQuest,,,,pending,
8244613773,2026-08-29T20:00:00Z,league-of-legends-lcs-summer,Team Liquid,Shopify Rebellion,6.2,7.95,1xbet+GG.bet,ok,2026-09-15 22:47
5153473441,2026-08-29T23:00:00Z,league-of-legends-lcs-summer,Cloud9,LYON,2.533,1.52,1xbet+GG.bet,ok,2026-09-15 22:47
4818295283,2026-08-30T20:00:00Z,league-of-legends-lcs-summer,LYON,Team Liquid,1.704,2.16,1xbet+GG.bet,ok,2026-09-15 22:47
4318323237,2026-08-30T21:50:00Z,league-of-legends-lcs-summer,Cloud9,Shopify Rebellion,1.29,4.38,1xbet+GG.bet,ok,2026-09-15 22:47
6278073399,2026-09-05T20:00:00Z,league-of-legends-lcs-summer,Sentinels,Cloud9,2.422,1.59,1xbet+GG.bet,ok,2026-09-15 21:13
8286844303,2026-09-05T21:45:00Z,league-of-legends-lcs-summer,Team Liquid,Dignitas,10.22,11.8,1xbet+GG.bet,ok,2026-09-15 22:47
5909957755,2026-09-06T20:00:00Z,league-of-legends-lcs-summer,Shopify Rebellion,FlyQuest,2.816,2.52,1xbet+GG.bet,ok,2026-09-15 22:47
